fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2020-04-23,1374,480,1161,396,0.34934497816593885,0.34108527131782945
2020-04-24,1553,588,1320,485,0.3786220218931101,0.36742424242424243
2020-04-25,494,239,445,218,0.48380566801619435,0.4898876404494382
2020-04-26,410,170,346,146,0.4146341463414634,0.42196531791907516
2020-04-27,1632,649,1406,548,0.39767156862745096,0.38975817923186346
2020-04-28,1696,560,1398,462,0.330188679245283,0.33047210300429186
2020-04-29,1916,713,1600,602,0.3721294363256785,0.37625
2020-04-30,1889,591,1591,500,0.31286394917946003,0.3142677561282212
2020-05-01,741,240,602,190,0.32388663967611336,0.31561461794019935
2020-05-02,649,263,577,227,0.4052388289676425,0.3934142114384749
2020-05-03,556,222,500,197,0.39928057553956836,0.394
2020-05-04,2023,753,1657,622,0.3722194760257044,0.37537718768859385
2020-05-05,1599,586,1370,508,0.36647904940587867,0.3708029197080292
2020-05-06,2175,694,1783,592,0.31908045977011495,0.3320246775098149
2020-05-07,2237,705,1842,585,0.31515422440768887,0.31758957654723124
2020-05-08,2449,921,2000,751,0.37607186606778276,0.3755
2020-05-09,798,351,684,305,0.4398496240601504,0.44590643274853803
2020-05-10,469,210,416,176,0.44776119402985076,0.4230769230769231
2020-05-11,2221,892,1755,699,0.40162089149031965,0.39829059829059826
2020-05-12,2256,941,1898,826,0.4171099290780142,0.4351949420442571
2020-05-13,2419,1112,1959,905,0.4596940884663084,0.4619703930576825
2020-05-14,2240,971,1867,798,0.43348214285714287,0.4274236743438672
2020-05-15,2678,1181,2195,969,0.44100074682598955,0.44145785876993165
2020-05-16,958,439,796,371,0.4582463465553236,0.46608040201005024
2020-05-17,608,288,519,249,0.47368421052631576,0.4797687861271676
2020-05-18,2719,1182,2210,955,0.43471864656123577,0.4321266968325792
2020-05-19,2561,1207,2113,995,0.47130027333073016,0.4708944628490298
2020-05-20,2684,1239,2144,1014,0.46162444113263784,0.47294776119402987
2020-05-21,2771,1232,2278,996,0.4446048357993504,0.437225636523266
2020-05-22,2784,1226,2266,954,0.44037356321839083,0.4210061782877317
2020-05-23,919,391,804,335,0.42546245919477693,0.4166666666666667
2020-05-24,640,300,519,251,0.46875,0.4836223506743738
2020-05-25,2873,1293,2301,1029,0.4500522102332057,0.4471968709256845
2020-05-26,2900,1386,2297,1074,0.47793103448275864,0.4675663909447105
2020-05-27,3311,1454,2691,1180,0.43914225309574145,0.4384986993682646
2020-05-28,2357,1060,1954,898,0.44972422571064913,0.4595701125895599
2020-05-29,2539,1122,2162,958,0.4419062623079953,0.4431082331174838
2020-05-30,1155,547,991,472,0.47359307359307357,0.47628657921291623
2020-05-31,689,346,573,296,0.502177068214804,0.5165794066317626
2020-06-01,3047,1469,2521,1204,0.4821135543157204,0.47758825862752874
2020-06-02,3020,1420,2381,1083,0.47019867549668876,0.45485090298194036
2020-06-03,3240,1458,2583,1110,0.45,0.429732868757259
2020-06-04,2800,1164,2314,954,0.4157142857142857,0.41227312013828865
2020-06-05,2912,1233,2409,1009,0.42342032967032966,0.41884599418845997
2020-06-06,1036,482,878,400,0.46525096525096526,0.45558086560364464
2020-06-07,635,294,523,257,0.462992125984252,0.491395793499044
2020-06-08,3165,1495,2578,1200,0.47235387045813587,0.46547711404189296
2020-06-09,2977,1400,2403,1084,0.47027208599261,0.45110278818143984
2020-06-10,3072,1371,2503,1072,0.4462890625,0.4282860567319217
2020-06-11,3029,1273,2411,986,0.42027071640805547,0.408958938199917
2020-06-12,3095,1249,2532,1006,0.4035541195476575,0.39731437598736175
2020-06-13,1127,435,919,346,0.385980479148181,0.3764961915125136
2020-06-14,853,350,670,262,0.41031652989449,0.39104477611940297
2020-06-15,3107,1145,2515,882,0.3685226906984229,0.3506958250497018
2020-06-16,3184,1248,2627,1023,0.39195979899497485,0.3894175866006852
2020-06-17,3081,1198,2451,952,0.38883479389808506,0.3884128926968584
2020-06-18,2899,1070,2377,874,0.3690927906174543,0.36769036600757254
2020-06-19,2872,1110,2276,868,0.3864902506963788,0.38137082601054484
2020-06-20,978,364,802,300,0.3721881390593047,0.3740648379052369
2020-06-21,726,295,601,245,0.40633608815426997,0.40765391014975044
2020-06-22,2729,1103,2199,859,0.4041773543422499,0.39063210550250116
2020-06-23,2805,1074,2338,882,0.38288770053475935,0.3772455089820359
2020-06-24,2702,1073,2273,894,0.39711324944485565,0.39331280246370437
2020-06-25,2864,1085,2362,877,0.378840782122905,0.3712955122777307
2020-06-26,2923,1077,2417,879,0.3684570646595963,0.36367397600330986
2020-06-27,895,360,716,286,0.4022346368715084,0.3994413407821229
2020-06-28,705,241,534,198,0.34184397163120567,0.3707865168539326
2020-06-29,3730,1386,2990,1071,0.37158176943699733,0.35819397993311036
2020-06-30,3306,1285,2662,1011,0.38868723532970356,0.37978963185574754
2020-07-01,3236,1256,2657,998,0.38813349814585907,0.3756115920210764
2020-07-02,2862,1107,2369,905,0.3867924528301887,0.38201772899957787
2020-07-03,3362,1206,2830,984,0.3587150505651398,0.34770318021201413
2020-07-04,1025,354,886,304,0.34536585365853656,0.3431151241534989
2020-07-05,780,244,662,200,0.3128205128205128,0.3021148036253776
2020-07-06,3384,1225,2762,989,0.36199763593380613,0.3580738595220854
2020-07-07,3355,1290,2713,998,0.38450074515648286,0.3678584592701806
2020-07-08,3342,1234,2867,1053,0.3692399760622382,0.3672828740844088
2020-07-09,3007,1006,2426,739,0.3345527103425341,0.3046166529266282
2020-07-10,3100,990,2589,830,0.3193548387096774,0.32058709926612594
2020-07-11,1034,351,841,286,0.33945841392649906,0.3400713436385256
2020-07-12,748,265,629,227,0.35427807486631013,0.36089030206677264
2020-07-13,3503,1337,2923,1084,0.3816728518412789,0.3708518645227506
2020-07-14,3450,1266,2877,1039,0.36695652173913046,0.3611400764685436
2020-07-15,4411,1410,3827,1164,0.31965540693720246,0.30415469035798276
2020-07-16,4312,1377,3740,1127,0.31934137291280146,0.3013368983957219
2020-07-17,4339,1251,3845,1071,0.2883152800184374,0.2785435630689207
2020-07-18,1801,619,1619,554,0.34369794558578565,0.34218653489808526
2020-07-19,929,296,807,244,0.3186221743810549,0.3023543990086741
2020-07-20,4047,1391,3471,1148,0.34371139115394117,0.3307404206280611
2020-07-21,3755,1223,3195,1040,0.3256990679094541,0.325508607198748
2020-07-22,4179,1464,3678,1318,0.3503230437903805,0.3583469276780859
2020-07-23,3768,1265,3258,1106,0.3357218683651805,0.33947206875383673
2020-07-24,3749,1093,3256,951,0.29154441184315816,0.29207616707616707
2020-07-25,1352,433,1187,380,0.3202662721893491,0.3201347935973041
2020-07-26,912,301,784,250,0.3300438596491228,0.31887755102040816
2020-07-27,3560,1272,2964,1072,0.35730337078651686,0.3616734143049933
2020-07-28,3628,1126,3078,934,0.3103638368246968,0.30344379467186483
2020-07-29,3764,1131,3360,1003,0.3004782146652497,0.29851190476190476
2020-07-30,3894,1248,3392,1079,0.3204930662557781,0.31810141509433965
2020-07-31,3758,1184,3258,1006,0.3150612027674295,0.3087783916513198
2020-08-01,1487,444,1295,396,0.29858776059179554,0.30579150579150577
2020-08-02,820,272,684,227,0.33170731707317075,0.33187134502923976
2020-08-03,3077,1017,2642,861,0.330516737081573,0.325889477668433
2020-08-04,3832,1226,3295,1041,0.319937369519833,0.3159332321699545
2020-08-05,3691,1245,3207,1057,0.33730696288268763,0.32959151855316493
2020-08-06,3453,1019,2974,882,0.29510570518389806,0.2965702757229321
2020-08-07,3743,1096,3212,963,0.2928132514026182,0.299813200498132
2020-08-08,1385,396,1217,349,0.28592057761732853,0.2867707477403451
2020-08-09,722,207,588,176,0.2867036011080332,0.29931972789115646
2020-08-10,3499,1102,2931,916,0.3149471277507859,0.31252132378027975
2020-08-11,3925,1270,3467,1113,0.3235668789808917,0.3210268243438131
2020-08-12,3890,1165,3331,1005,0.2994858611825193,0.30171119783848693
2020-08-13,3859,1070,3346,951,0.27727390515677636,0.28421996413628214
2020-08-14,4124,1221,3510,1035,0.2960717749757517,0.2948717948717949
2020-08-15,1499,440,1310,386,0.2935290193462308,0.29465648854961835
2020-08-16,741,216,620,175,0.291497975708502,0.28225806451612906
2020-08-17,3584,1164,3075,987,0.3247767857142857,0.32097560975609757
2020-08-18,3909,1353,3452,1194,0.3461243284727552,0.3458864426419467
2020-08-19,4008,1262,3534,1119,0.3148702594810379,0.3166383701188455
2020-08-20,3229,957,2782,832,0.2963765871786931,0.29906542056074764
2020-08-21,4050,1228,3519,1053,0.30320987654320986,0.29923273657289
2020-08-22,1473,432,1276,385,0.29327902240325865,0.3017241379310345
2020-08-23,737,255,615,217,0.34599728629579374,0.35284552845528455
2020-08-24,3940,1370,3274,1132,0.3477157360406091,0.34575442883323154
2020-08-25,3644,1321,2981,1065,0.36251372118551045,0.3572626635357263
2020-08-26,5137,1631,4551,1444,0.3175004866653689,0.3172929026587563
2020-08-27,5143,1444,4530,1253,0.2807699786117052,0.27660044150110374
2020-08-28,5197,1384,4585,1212,0.26630748508755053,0.264340239912759
2020-08-29,2111,542,1826,483,0.2567503552818569,0.26451259583789705
2020-08-30,920,279,721,240,0.3032608695652174,0.332871012482663
2020-08-31,4157,1386,3475,1105,0.33341351936492664,0.31798561151079136
2020-09-01,5165,1774,4560,1530,0.34346563407550823,0.3355263157894737
2020-09-02,5373,1759,4705,1508,0.3273776288851666,0.32051009564293303
2020-09-03,5520,1544,4759,1323,0.2797101449275362,0.27799957974364364
2020-09-04,5319,1479,4697,1266,0.27805978567399886,0.269533744943581
2020-09-05,2000,549,1739,466,0.2745,0.2679700977573318
2020-09-06,1145,335,952,285,0.2925764192139738,0.29936974789915966
2020-09-07,4018,1251,3381,1038,0.3113489298158288,0.3070097604259095
2020-09-08,4997,1621,4384,1411,0.32439463678206926,0.3218521897810219
2020-09-09,5106,1450,4451,1272,0.2839796318057188,0.28577847674679846
2020-09-10,5514,1381,4804,1206,0.2504533913674284,0.25104079933388845
2020-09-11,4918,1274,4357,1135,0.2590483936559577,0.26050034427358276
2020-09-12,2125,674,1899,609,0.3171764705882353,0.320695102685624
2020-09-13,706,232,575,194,0.3286118980169972,0.3373913043478261
2020-09-14,4184,1254,3536,1041,0.2997131931166348,0.2944004524886878
2020-09-15,3169,941,2720,810,0.2969390975071,0.2977941176470588
2020-09-16,578,194,479,161,0.3356401384083045,0.33611691022964507
2020-09-17,4446,1496,3827,1279,0.33648223121907334,0.33420433760125423
2020-09-18,4536,1380,3970,1203,0.30423280423280424,0.3030226700251889
2020-09-19,1913,614,1672,552,0.32096184004181916,0.33014354066985646
2020-09-20,795,285,657,243,0.3584905660377358,0.3698630136986301
2020-09-21,3604,1197,3097,1017,0.3321309655937847,0.3283823054568938
2020-09-22,4575,1447,3996,1287,0.3162841530054645,0.32207207207207206
2020-09-23,4405,1420,3782,1216,0.322360953461975,0.32152300370174514
2020-09-24,4223,1264,3722,1111,0.2993132843949799,0.2984954325631381
2020-09-25,4381,1298,3758,1134,0.2962793882675188,0.30175625332623734
2020-09-26,2102,703,1847,618,0.33444338725023787,0.3345966432051976
2020-09-27,860,295,706,261,0.3430232558139535,0.3696883852691218
2020-09-28,4304,1408,3669,1195,0.3271375464684015,0.32570182611065684
2020-09-29,4446,1417,3868,1268,0.31871345029239767,0.327817993795243
2020-09-30,4367,1356,3782,1209,0.3105106480421342,0.319672131147541
2020-10-01,3990,1292,3497,1147,0.3238095238095238,0.3279954246496997
2020-10-02,4377,1161,3780,1012,0.26525017135023987,0.2677248677248677
2020-10-03,1781,561,1583,502,0.3149915777653004,0.31711939355653823
2020-10-04,749,282,637,243,0.376502002670227,0.3814756671899529
2020-10-05,3766,1299,3155,1096,0.34492830589484863,0.3473851030110935
2020-10-06,4477,1382,3942,1214,0.3086888541433996,0.30796549974632165
2020-10-07,4789,1371,4162,1203,0.2862810607642514,0.28904372897645364
2020-10-08,4492,1272,3944,1141,0.2831700801424755,0.2893002028397566
2020-10-09,4485,1297,3969,1170,0.28918617614269787,0.2947845804988662
2020-10-10,1601,484,1388,422,0.3023110555902561,0.30403458213256485
2020-10-11,861,286,737,261,0.3321718931475029,0.3541383989145183
2020-10-12,4504,1404,3839,1209,0.3117229129662522,0.3149257619171659
2020-10-13,5619,1745,4851,1471,0.31055347926677346,0.30323644609358896
2020-10-14,4991,1370,4369,1200,0.2744940893608495,0.2746623941405356
2020-10-15,4430,1410,3888,1261,0.3182844243792325,0.3243312757201646
2020-10-16,5512,1694,4883,1493,0.3073294629898404,0.3057546590210936
2020-10-17,2164,666,1922,592,0.3077634011090573,0.30801248699271594
2020-10-18,1121,373,974,309,0.3327386262265834,0.31724845995893225
2020-10-19,6628,2153,5962,1870,0.3248340374170187,0.31365313653136534
2020-10-20,7312,2234,6489,1973,0.30552516411378555,0.3040530127908769
2020-10-21,7120,1931,6277,1720,0.27120786516853934,0.27401624980086026
2020-10-22,7644,1941,6734,1713,0.25392464678178966,0.25438075438075436
2020-10-23,7308,1975,6506,1755,0.27025177887246854,0.2697509990777744
2020-10-24,2384,717,2102,623,0.30075503355704697,0.29638439581351095
2020-10-25,1556,491,1337,417,0.31555269922879176,0.3118922961854899
2020-10-26,7612,2249,6657,1944,0.29545454545454547,0.29202343397926994
2020-10-27,8187,2180,7270,1926,0.26627580310247956,0.26492434662998626
2020-10-28,8105,2147,7191,1937,0.264898210980876,0.2693644833820053
2020-10-29,7794,1869,6770,1601,0.23979984603541185,0.2364844903988183
2020-10-30,6759,1788,5816,1542,0.26453617399023527,0.26513067400275103
2020-10-31,2165,739,1920,651,0.34133949191685914,0.3390625
2020-11-01,994,389,825,320,0.39134808853118713,0.3878787878787879
2020-11-02,2018,706,1757,627,0.34985133795837464,0.35685828116107
2020-11-03,6964,2410,6064,2087,0.34606547960941986,0.3441622691292876
2020-11-04,6995,2222,6145,1980,0.3176554681915654,0.322213181448332
2020-11-05,6771,2084,6037,1889,0.3077831930290947,0.31290376014576776
2020-11-06,6469,1936,5736,1723,0.2992734580306075,0.30038354253835425
2020-11-07,2608,891,2288,787,0.3416411042944785,0.34396853146853146
2020-11-08,1034,441,821,348,0.42649903288201163,0.4238733252131547
2020-11-09,7302,2610,6383,2286,0.3574363188167625,0.3581388062039793
2020-11-10,7935,2708,6963,2333,0.3412728418399496,0.33505672842165735
2020-11-11,6887,2107,5979,1843,0.30593872513431103,0.3082455260076936
2020-11-12,6601,1858,5766,1630,0.2814725041660355,0.2826916406520985
2020-11-13,6600,1926,5837,1695,0.2918181818181818,0.2903888984067158
2020-11-14,2125,693,1847,586,0.3261176470588235,0.31727125067677314
2020-11-15,1020,366,888,325,0.3588235294117647,0.36599099099099097
2020-11-16,822,342,701,288,0.41605839416058393,0.4108416547788873
2020-11-17,6644,1999,5811,1726,0.30087296809151115,0.2970228876269145
2020-11-18,6571,2225,5712,1896,0.33860903971998174,0.3319327731092437
2020-11-19,6943,2180,6080,1928,0.3139853089442604,0.3171052631578947
2020-11-20,6384,1905,5545,1634,0.2984022556390977,0.2946798917944094
2020-11-21,3742,1215,3338,1072,0.32469267771245325,0.3211503894547633
2020-11-22,2486,1493,2077,1230,0.6005631536604988,0.5922002888781897
2020-11-23,8855,3406,7650,2841,0.3846414455110107,0.37137254901960787
2020-11-24,10244,3130,8865,2762,0.30554470909800857,0.3115623237450649
2020-11-25,10378,2596,8967,2260,0.2501445365195606,0.25203524032563845
2020-11-26,10570,2775,9111,2415,0.2625354777672658,0.2650642081000988
2020-11-27,10317,2758,8970,2400,0.267325772996026,0.26755852842809363
2020-11-28,4214,1050,3693,887,0.24916943521594684,0.24018413214189005
2020-11-29,2419,735,2064,631,0.30384456386936753,0.3057170542635659
2020-11-30,11574,3227,10008,2751,0.2788145844133402,0.2748800959232614
2020-12-01,12978,3424,11222,2973,0.2638310987825551,0.2649260381393691
2020-12-02,14524,3645,12493,3129,0.25096392178463234,0.25046025774433683
2020-12-03,14891,3749,12930,3256,0.25176280975085624,0.25181747873163185
2020-12-04,15624,3893,13372,3312,0.2491679467485919,0.24768172300329047
2020-12-05,5456,1472,4826,1289,0.2697947214076246,0.26709490261085783
2020-12-06,3403,938,2878,774,0.275639141933588,0.2689367616400278
2020-12-07,16414,4715,14054,4014,0.28725478250274156,0.28561263697168066
2020-12-08,18026,4857,15408,4092,0.2694441362476423,0.26557632398753894
2020-12-09,17078,4594,14614,3872,0.2690010539875864,0.2649514164499795
2020-12-10,17741,4549,15313,3896,0.2564117017079082,0.2544243453274995
2020-12-11,17024,4375,14615,3754,0.25699013157894735,0.2568593910366062
2020-12-12,5709,1737,4987,1512,0.3042564372044141,0.3031882895528374
2020-12-13,3334,1040,2739,854,0.3119376124775045,0.3117926250456371
2020-12-14,17390,5105,14539,4275,0.2935595169637723,0.2940367287984043
2020-12-15,17153,5025,14586,4254,0.2929516702617618,0.2916495269436446
2020-12-16,16644,4933,13923,4131,0.2963830809901466,0.2967032967032967
2020-12-17,16883,4653,14184,3884,0.27560267724930404,0.27382966723068247
2020-12-18,17508,4937,15001,4111,0.2819853781128627,0.2740483967735484
2020-12-19,6761,1761,5950,1516,0.26046442833900313,0.25478991596638656
2020-12-20,3947,1050,3227,858,0.2660248289840385,0.2658816237991943
2020-12-21,18338,5665,15719,4826,0.3089213654706075,0.3070169858133469
2020-12-22,17416,4913,15016,4167,0.28209692237023426,0.2775039957378796
2020-12-23,16729,4667,14527,3992,0.2789766274134736,0.2747986507881875
2020-12-24,12972,3456,11412,2990,0.2664199814986124,0.2620049071153172
2020-12-25,2561,840,2082,661,0.3279968762202265,0.3174831892411143
2020-12-26,5453,1594,4660,1378,0.2923161562442692,0.2957081545064378
2020-12-27,3732,1063,3171,893,0.28483386923901394,0.2816146326080101
2020-12-28,16169,4451,14058,3916,0.2752798565155545,0.27856025039123633
2020-12-29,17441,4693,15221,4054,0.26907860787798865,0.2663425530517049
2020-12-30,16469,4208,14452,3641,0.25551035278401846,0.25193744810406865
2020-12-31,12834,3436,11433,2985,0.2677263518778245,0.26108632904749407
2021-01-01,2828,812,2474,704,0.2871287128712871,0.28455941794664513
2021-01-02,4696,1566,3986,1331,0.33347529812606475,0.33391871550426494
2021-01-03,4290,1328,3507,1091,0.3095571095571096,0.3110921015112632
2021-01-04,15803,4545,13771,3929,0.2876036195659052,0.2853097088083654
2021-01-05,18083,5128,15612,4488,0.2835812641707681,0.28747117601844735
2021-01-06,17740,4959,15457,4279,0.27953776775648254,0.27683250307304136
2021-01-07,20145,5332,17165,4613,0.26468106229833704,0.26874453830468975
2021-01-08,18516,4876,15651,4147,0.2633398142147332,0.2649670947543288
2021-01-09,7304,2215,6359,1930,0.30325848849945236,0.303506840698223
2021-01-10,5333,1415,4343,1208,0.2653290830676917,0.27814874510706883
2021-01-11,19949,5461,17095,4770,0.2737480575467442,0.2790289558350395
2021-01-12,22127,6229,18934,5357,0.2815112758168753,0.28293017851484104
2021-01-13,21974,5783,18786,4993,0.2631746609629562,0.2657830299158948
2021-01-14,27158,7708,23448,6853,0.2838206053464909,0.29226373251450016
2021-01-15,24781,7176,21539,6330,0.28957669182034623,0.29388551000510704
2021-01-16,10281,3031,9036,2728,0.29481567940861786,0.3019034971226206
2021-01-17,8336,2395,7114,2105,0.2873080614203455,0.29589541748664605
2021-01-18,24708,7319,21451,6319,0.2962198478225676,0.29457834133606825
2021-01-19,26870,7352,23115,6358,0.2736136955712691,0.2750594851827817
2021-01-20,26153,7379,22613,6432,0.282147363591175,0.284438155043559
2021-01-21,26525,6616,22672,5720,0.24942507068803016,0.25229357798165136
2021-01-22,25241,5828,21479,4970,0.23089418010379936,0.23138879836119
2021-01-23,9135,2297,7735,1990,0.2514504652435687,0.2572721396250808
2021-01-24,7160,1683,6096,1502,0.2350558659217877,0.24639107611548555
2021-01-25,23895,5664,20474,4820,0.23703703703703705,0.23542053335938262
2021-01-26,23641,4919,20234,4299,0.20807072458863837,0.21246416922012454
2021-01-27,26716,5569,23074,4900,0.2084518640515047,0.21236023229609083
2021-01-28,24346,5015,20868,4362,0.20598866343547195,0.2090281771132835
2021-01-29,21828,4270,18894,3665,0.19562030419644494,0.19397692389118237
2021-01-30,8485,1409,7139,1201,0.1660577489687684,0.1682308446561143
2021-01-31,6047,1007,5100,858,0.16652885728460393,0.16823529411764707
2021-02-01,5305,1056,4570,898,0.19905749293119698,0.19649890590809627
2021-02-02,20794,4232,18101,3676,0.20352024622487255,0.20308270261311528
2021-02-03,23115,4022,19979,3433,0.17399956738048886,0.17183042194304018
2021-02-04,19795,3392,16931,2952,0.17135640313210407,0.17435473392002834
2021-02-05,19479,3217,16977,2869,0.16515221520611942,0.16899334393591328
2021-02-06,6493,1072,5622,914,0.16510087786847374,0.16257559587335468
2021-02-07,4569,663,3960,565,0.14510833880499016,0.14267676767676768
2021-02-08,18849,3417,16289,2970,0.1812828266751552,0.18233163484560133
2021-02-09,20025,3405,17223,2896,0.1700374531835206,0.1681472449631307
2021-02-10,19549,3179,16652,2692,0.1626170136579876,0.1616622627912563
2021-02-11,17739,2681,15012,2260,0.15113591521506287,0.15054622968292034
2021-02-12,18157,2806,15589,2467,0.15454094839455856,0.15825261402270832
2021-02-13,5581,957,4889,823,0.17147464612076688,0.168337083248108
2021-02-14,3757,480,3344,427,0.12776151184455684,0.1276913875598086
2021-02-15,18220,2845,15651,2474,0.15614709110867178,0.15807296658360487
2021-02-16,17277,2641,15038,2312,0.15286218672223187,0.15374384891607926
2021-02-17,17289,2535,14803,2214,0.14662502169009198,0.14956427751131526
2021-02-18,16874,2278,14350,1980,0.13500059262771127,0.13797909407665504
2021-02-19,15777,2381,13737,2092,0.15091589021994042,0.15228943728616146
2021-02-20,5233,831,4461,704,0.1587999235620103,0.15781214974221028
2021-02-21,3578,488,3008,421,0.1363890441587479,0.13996010638297873
2021-02-22,17163,2760,14803,2387,0.1608110470197518,0.16125109775045599
2021-02-23,16766,2570,14406,2288,0.15328641297864726,0.15882271275857282
2021-02-24,16148,2357,13836,2094,0.14596234827842458,0.1513443191673894
2021-02-25,14799,2216,12581,1974,0.14973984728697884,0.15690326683093553
2021-02-26,15082,2073,12906,1816,0.13744861424214294,0.14070974740430808
2021-02-27,4927,781,4082,684,0.15851430891008728,0.16756491915727584
2021-02-28,4096,509,3443,444,0.124267578125,0.12895730467615452
2021-03-01,16514,2671,13912,2314,0.16174155262201767,0.16633122484186313
2021-03-02,14875,2179,12694,1892,0.14648739495798319,0.14904679376083188
2021-03-03,15962,2335,13526,2048,0.14628492670091467,0.151412095224013
2021-03-04,13389,2054,11429,1834,0.15340951527373217,0.16046898241315952
2021-03-05,11542,1795,9822,1596,0.15551897418125107,0.1624923640806353
2021-03-06,5648,719,4665,644,0.12730169971671387,0.13804930332261522
2021-03-07,4000,507,3283,424,0.12675,0.12915016752969843
2021-03-08,14766,2388,12819,2056,0.16172287687931736,0.16038692565722756
2021-03-09,13656,2022,12003,1780,0.14806678383128294,0.1482962592685162
2021-03-10,12277,1759,10424,1553,0.1432760446363118,0.14898311588641597
2021-03-11,12104,1687,10350,1493,0.13937541308658294,0.1442512077294686
2021-03-12,12155,1627,10396,1447,0.13385438091320445,0.13918814928818776
2021-03-13,3900,576,3325,510,0.1476923076923077,0.15338345864661654
2021-03-14,2096,320,1790,277,0.15267175572519084,0.1547486033519553
2021-03-15,2634,352,2295,316,0.13363705391040243,0.13769063180827887
2021-03-16,13734,2017,11851,1772,0.14686180282510558,0.14952324698337693
2021-03-17,13040,1683,11248,1475,0.12906441717791411,0.1311344238975818
2021-03-18,12105,1479,10419,1319,0.12218091697645601,0.12659564257606296
2021-03-19,10904,1235,9317,1094,0.11326118855465885,0.11741977031233229
2021-03-20,3418,507,2897,408,0.1483323581041545,0.14083534691059718
2021-03-21,2393,319,2108,268,0.13330547430004178,0.127134724857685
2021-03-22,14108,1681,12094,1474,0.11915225404026085,0.12187861749627915
2021-03-23,11900,1535,10137,1381,0.12899159663865548,0.13623359968432475
2021-03-24,12311,1296,10390,1126,0.10527170822841361,0.10837343599615014
2021-03-25,10935,1151,9406,1030,0.1052583447645176,0.10950457155007443
2021-03-26,9147,1086,7746,977,0.11872745162348311,0.12612961528530856
2021-03-27,3802,438,3216,376,0.11520252498684903,0.11691542288557213
2021-03-28,2038,253,1736,226,0.12414131501472031,0.13018433179723501
2021-03-29,11242,1366,9699,1162,0.12150862835794343,0.11980616558408083
2021-03-30,11575,1238,9959,1086,0.10695464362850972,0.1090470930816347
2021-03-31,9630,1184,8343,1034,0.12294911734164071,0.12393623396859643
2021-04-01,8669,700,7404,604,0.08074749106009921,0.08157752566180443
2021-04-02,5832,558,4927,479,0.09567901234567901,0.09721940328800487
2021-04-03,1504,217,1335,190,0.14428191489361702,0.14232209737827714
2021-04-04,1537,240,1322,189,0.1561483409238777,0.14296520423600606
2021-04-05,10080,1198,8589,1039,0.11884920634920634,0.12096868087088136
2021-04-06,9679,1205,8308,1054,0.12449633226572993,0.12686567164179105
2021-04-07,10161,1159,8749,1031,0.11406357641964374,0.11784203909018173
2021-04-08,10934,1040,9308,916,0.09511615145417962,0.09840996991834981
2021-04-09,9912,1031,8381,901,0.10401533494753834,0.1075050709939148
2021-04-10,3660,458,3153,387,0.1251366120218579,0.12274024738344434
2021-04-11,2833,242,2356,191,0.08542181433109777,0.08106960950764007
2021-04-12,11467,1204,9535,1047,0.10499694776314641,0.10980597797587835
2021-04-13,12885,1178,10861,1009,0.09142413659293752,0.09290120615044656
2021-04-14,10019,832,8650,754,0.08304221978241341,0.08716763005780347
